n: 221, s: 752, Numero de iteraciones: 100, Tiempo estimado de falla: 3.4196742812799816, Desviacion estandar de los tiempos de falla: 0.11375592604861427
n: 679, s: 319, Numero de iteraciones: 100, Tiempo estimado de falla: 0.4740405554451494, Desviacion estandar de los tiempos de falla: 0.026580898957163136
n: 578, s: 187, Numero de iteraciones: 100, Tiempo estimado de falla: 0.32294186780134804, Desviacion estandar de los tiempos de falla: 0.020588342235259866
n: 881, s: 314, Numero de iteraciones: 100, Tiempo estimado de falla: 0.3556984695040889, Desviacion estandar de los tiempos de falla: 0.022715952198544262
n: 801, s: 583, Numero de iteraciones: 100, Tiempo estimado de falla: 0.7275715671864746, Desviacion estandar de los tiempos de falla: 0.028442881337790462
n: 850, s: 787, Numero de iteraciones: 100, Tiempo estimado de falla: 0.9285349718316948, Desviacion estandar de los tiempos de falla: 0.031715623584551045
n: 555, s: 234, Numero de iteraciones: 100, Tiempo estimado de falla: 0.4180435827199804, Desviacion estandar de los tiempos de falla: 0.027242328098768535
n: 642, s: 946, Numero de iteraciones: 100, Tiempo estimado de falla: 1.47935987999559, Desviacion estandar de los tiempos de falla: 0.04891111476055121
n: 83, s: 256, Numero de iteraciones: 100, Tiempo estimado de falla: 3.125379870069704, Desviacion estandar de los tiempos de falla: 0.1805620135143848
n: 179, s: 146, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8233905625395755, Desviacion estandar de los tiempos de falla: 0.06280983088742818
n: 76, s: 304, Numero de iteraciones: 2499, Tiempo estimado de falla: 4.064202209564407, Desviacion estandar de los tiempos de falla: 0.9996077139576098
n: 741, s: 391, Numero de iteraciones: 100, Tiempo estimado de falla: 0.5254120716035248, Desviacion estandar de los tiempos de falla: 0.024716991105543956
n: 169, s: 264, Numero de iteraciones: 100, Tiempo estimado de falla: 1.5777433025229128, Desviacion estandar de los tiempos de falla: 0.10253632488375526
n: 648, s: 326, Numero de iteraciones: 100, Tiempo estimado de falla: 0.5024371151000696, Desviacion estandar de los tiempos de falla: 0.02812225862978889
n: 766, s: 841, Numero de iteraciones: 100, Tiempo estimado de falla: 1.0994515891127603, Desviacion estandar de los tiempos de falla: 0.037267430138989865
n: 415, s: 344, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8301986302745908, Desviacion estandar de los tiempos de falla: 0.048612042079065304
n: 314, s: 866, Numero de iteraciones: 100, Tiempo estimado de falla: 2.767290447981268, Desviacion estandar de los tiempos de falla: 0.09546905825719923
n: 3, s: 913, Numero de iteraciones: 2619, Tiempo estimado de falla: 456.90382681116125, Desviacion estandar de los tiempos de falla: 1.0208943308447076
n: 159, s: 125, Numero de iteraciones: 100, Tiempo estimado de falla: 0.7844394732239427, Desviacion estandar de los tiempos de falla: 0.06627458990686287
